election,election_id,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",1,1001,773,284,266,18
"March 3rd, 2020 Joint Primary",1,1002,661,134,107,27
"March 3rd, 2020 Joint Primary",1,1003,2162,547,494,53
"March 3rd, 2020 Joint Primary",1,1004,917,192,174,18
"March 3rd, 2020 Joint Primary",1,1005,834,143,123,20
"March 3rd, 2020 Joint Primary",1,1006,2134,421,350,71
"March 3rd, 2020 Joint Primary",1,1007,1303,284,243,41
"March 3rd, 2020 Joint Primary",1,1008,1871,610,560,50
"March 3rd, 2020 Joint Primary",1,1009,1657,287,209,78
"March 3rd, 2020 Joint Primary",1,1010,624,185,167,18
"March 3rd, 2020 Joint Primary",1,1011,558,92,78,14
"March 3rd, 2020 Joint Primary",1,1012,2211,408,314,94
"March 3rd, 2020 Joint Primary",1,1013,2516,479,423,56
"March 3rd, 2020 Joint Primary",1,1014,1394,200,176,24
"March 3rd, 2020 Joint Primary",1,1015,1466,193,170,23
"March 3rd, 2020 Joint Primary",1,1016,1250,210,187,23
"March 3rd, 2020 Joint Primary",1,1017,213,46,34,12
"March 3rd, 2020 Joint Primary",1,1018,2403,419,352,67
"March 3rd, 2020 Joint Primary",1,1019,891,176,149,27
"March 3rd, 2020 Joint Primary",1,1020,2350,494,398,96
"March 3rd, 2020 Joint Primary",1,1021,1726,329,289,40
"March 3rd, 2020 Joint Primary",1,1022,976,161,136,25
"March 3rd, 2020 Joint Primary",1,1023,2639,392,348,44
"March 3rd, 2020 Joint Primary",1,1024,3174,661,474,187
"March 3rd, 2020 Joint Primary",1,1025,769,79,71,8
"March 3rd, 2020 Joint Primary",1,1026,1315,214,183,31
"March 3rd, 2020 Joint Primary",1,1027,345,58,36,22
"March 3rd, 2020 Joint Primary",1,1028,1000,192,162,30
"March 3rd, 2020 Joint Primary",1,1029,2004,349,293,56
"March 3rd, 2020 Joint Primary",1,1030,70,6,5,1
"March 3rd, 2020 Joint Primary",1,1031,1553,254,225,29
"March 3rd, 2020 Joint Primary",1,1032,2528,377,342,35
"March 3rd, 2020 Joint Primary",1,1033,2160,288,211,77
"March 3rd, 2020 Joint Primary",1,1034,3768,761,505,256
"March 3rd, 2020 Joint Primary",1,1035,1022,78,46,32
"March 3rd, 2020 Joint Primary",1,1036,3603,619,424,195
"March 3rd, 2020 Joint Primary",1,1037,2558,413,330,83
"March 3rd, 2020 Joint Primary",1,1038,3039,599,446,153
"March 3rd, 2020 Joint Primary",1,1039,3235,344,294,50
"March 3rd, 2020 Joint Primary",1,1040,2847,420,366,54
"March 3rd, 2020 Joint Primary",1,1041,2405,335,289,46
"March 3rd, 2020 Joint Primary",1,1042,1193,193,167,26
"March 3rd, 2020 Joint Primary",1,1043,1552,269,194,75
"March 3rd, 2020 Joint Primary",1,1044,2099,419,354,65
"March 3rd, 2020 Joint Primary",1,1045,3329,590,483,107
"March 3rd, 2020 Joint Primary",1,1046,2083,402,350,52
"March 3rd, 2020 Joint Primary",1,1047,1787,307,261,46
"March 3rd, 2020 Joint Primary",1,1048,2261,427,348,79
"March 3rd, 2020 Joint Primary",1,1049,2630,494,402,92
"March 3rd, 2020 Joint Primary",1,1050,1393,282,227,55
"March 3rd, 2020 Joint Primary",1,1051,2077,441,319,122
"March 3rd, 2020 Joint Primary",1,1052,2081,375,297,78
"March 3rd, 2020 Joint Primary",1,1053,258,54,49,5
"March 3rd, 2020 Joint Primary",1,1054,2468,535,455,80
"March 3rd, 2020 Joint Primary",1,1055,1957,461,323,138
"March 3rd, 2020 Joint Primary",1,1056,3094,587,456,131
"March 3rd, 2020 Joint Primary",1,1057,2385,344,212,132
"March 3rd, 2020 Joint Primary",1,1058,2725,437,267,170
"March 3rd, 2020 Joint Primary",1,1059,474,77,60,17
"March 3rd, 2020 Joint Primary",1,1060,2942,456,388,68
"March 3rd, 2020 Joint Primary",1,1061,2754,349,290,59
"March 3rd, 2020 Joint Primary",1,1062,186,19,7,12
"March 3rd, 2020 Joint Primary",1,1063,2152,323,178,145
