election,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",1001,773,284,266,18
"March 3rd, 2020 Joint Primary",1002,661,134,107,27
"March 3rd, 2020 Joint Primary",1003,2162,547,494,53
"March 3rd, 2020 Joint Primary",1004,917,192,174,18
"March 3rd, 2020 Joint Primary",1005,834,143,123,20
"March 3rd, 2020 Joint Primary",1006,2134,421,350,71
"March 3rd, 2020 Joint Primary",1007,1303,284,243,41
"March 3rd, 2020 Joint Primary",1008,1871,610,560,50
"March 3rd, 2020 Joint Primary",1009,1657,287,209,78
"March 3rd, 2020 Joint Primary",1010,624,185,167,18
"March 3rd, 2020 Joint Primary",1011,558,92,78,14
"March 3rd, 2020 Joint Primary",1012,2211,408,314,94
"March 3rd, 2020 Joint Primary",1013,2516,479,423,56
"March 3rd, 2020 Joint Primary",1014,1394,200,176,24
"March 3rd, 2020 Joint Primary",1015,1466,193,170,23
"March 3rd, 2020 Joint Primary",1016,1250,210,187,23
"March 3rd, 2020 Joint Primary",1017,213,46,34,12
"March 3rd, 2020 Joint Primary",1018,2403,419,352,67
"March 3rd, 2020 Joint Primary",1019,891,176,149,27
"March 3rd, 2020 Joint Primary",1020,2350,494,398,96
"March 3rd, 2020 Joint Primary",1021,1726,329,289,40
"March 3rd, 2020 Joint Primary",1022,976,161,136,25
"March 3rd, 2020 Joint Primary",1023,2639,392,348,44
"March 3rd, 2020 Joint Primary",1024,3174,661,474,187
"March 3rd, 2020 Joint Primary",1025,769,79,71,8
"March 3rd, 2020 Joint Primary",1026,1315,214,183,31
"March 3rd, 2020 Joint Primary",1027,345,58,36,22
"March 3rd, 2020 Joint Primary",1028,1000,192,162,30
"March 3rd, 2020 Joint Primary",1029,2004,349,293,56
"March 3rd, 2020 Joint Primary",1030,70,6,5,1
"March 3rd, 2020 Joint Primary",1031,1553,254,225,29
"March 3rd, 2020 Joint Primary",1032,2528,377,342,35
"March 3rd, 2020 Joint Primary",1033,2160,288,211,77
"March 3rd, 2020 Joint Primary",1034,3768,761,505,256
"March 3rd, 2020 Joint Primary",1035,1022,78,46,32
"March 3rd, 2020 Joint Primary",1036,3603,619,424,195
"March 3rd, 2020 Joint Primary",1037,2558,413,330,83
"March 3rd, 2020 Joint Primary",1038,3039,599,446,153
"March 3rd, 2020 Joint Primary",1039,3235,344,294,50
"March 3rd, 2020 Joint Primary",1040,2847,420,366,54
"March 3rd, 2020 Joint Primary",1041,2405,335,289,46
"March 3rd, 2020 Joint Primary",1042,1193,193,167,26
"March 3rd, 2020 Joint Primary",1043,1552,269,194,75
"March 3rd, 2020 Joint Primary",1044,2099,419,354,65
"March 3rd, 2020 Joint Primary",1045,3329,590,483,107
"March 3rd, 2020 Joint Primary",1046,2083,402,350,52
"March 3rd, 2020 Joint Primary",1047,1787,307,261,46
"March 3rd, 2020 Joint Primary",1048,2261,427,348,79
"March 3rd, 2020 Joint Primary",1049,2630,494,402,92
"March 3rd, 2020 Joint Primary",1050,1393,282,227,55
"March 3rd, 2020 Joint Primary",1051,2077,441,319,122
"March 3rd, 2020 Joint Primary",1052,2081,375,297,78
"March 3rd, 2020 Joint Primary",1053,258,54,49,5
"March 3rd, 2020 Joint Primary",1054,2468,535,455,80
"March 3rd, 2020 Joint Primary",1055,1957,461,323,138
"March 3rd, 2020 Joint Primary",1056,3094,587,456,131
"March 3rd, 2020 Joint Primary",1057,2385,344,212,132
"March 3rd, 2020 Joint Primary",1058,2725,437,267,170
"March 3rd, 2020 Joint Primary",1059,474,77,60,17
"March 3rd, 2020 Joint Primary",1060,2942,456,388,68
"March 3rd, 2020 Joint Primary",1061,2754,349,290,59
"March 3rd, 2020 Joint Primary",1062,186,19,7,12
"March 3rd, 2020 Joint Primary",1063,2152,323,178,145
"March 3rd, 2020 Joint Primary",1064,1307,190,115,75
"March 3rd, 2020 Joint Primary",1065,2344,428,250,178
"March 3rd, 2020 Joint Primary",1066,811,114,78,36
"March 3rd, 2020 Joint Primary",1067,3111,539,258,281
"March 3rd, 2020 Joint Primary",1068,1780,196,136,60
"March 3rd, 2020 Joint Primary",1069,471,156,99,57
"March 3rd, 2020 Joint Primary",1070,1196,185,134,51
"March 3rd, 2020 Joint Primary",1071,1960,379,276,103
"March 3rd, 2020 Joint Primary",1072,2083,390,309,81
"March 3rd, 2020 Joint Primary",1073,3560,644,450,194
"March 3rd, 2020 Joint Primary",1074,19,1,1,0
"March 3rd, 2020 Joint Primary",1075,2337,317,265,52
"March 3rd, 2020 Joint Primary",1076,2908,576,407,169
"March 3rd, 2020 Joint Primary",1077,1660,356,319,37
"March 3rd, 2020 Joint Primary",1078,516,97,88,9
"March 3rd, 2020 Joint Primary",1079,2557,440,356,84
"March 3rd, 2020 Joint Primary",1080,4647,701,568,133
"March 3rd, 2020 Joint Primary",1081,1733,591,210,381
"March 3rd, 2020 Joint Primary",1082,4612,813,632,181
"March 3rd, 2020 Joint Primary",1083,2716,663,474,189
"March 3rd, 2020 Joint Primary",1084,2119,318,248,70
"March 3rd, 2020 Joint Primary",1085,1743,273,222,51
"March 3rd, 2020 Joint Primary",1086,2443,543,426,117
"March 3rd, 2020 Joint Primary",1087,1643,244,192,52
"March 3rd, 2020 Joint Primary",1088,999,151,136,15
"March 3rd, 2020 Joint Primary",1089,1513,334,232,102
"March 3rd, 2020 Joint Primary",1090,0,0,0,0
"March 3rd, 2020 Joint Primary",1091,2236,457,355,102
"March 3rd, 2020 Joint Primary",1092,1094,143,116,27
"March 3rd, 2020 Joint Primary",1093,1131,229,171,58
"March 3rd, 2020 Joint Primary",1094,2309,377,290,87
"March 3rd, 2020 Joint Primary",1095,350,32,21,11
"March 3rd, 2020 Joint Primary",1096,92,15,11,4
"March 3rd, 2020 Joint Primary",1097,841,141,107,34
"March 3rd, 2020 Joint Primary",1098,887,160,145,15
"March 3rd, 2020 Joint Primary",1099,2822,674,495,179
"March 3rd, 2020 Joint Primary",1100,2705,563,398,165
"March 3rd, 2020 Joint Primary",1101,0,0,0,0
"March 3rd, 2020 Joint Primary",1102,1006,158,85,73
"March 3rd, 2020 Joint Primary",1103,685,89,50,39
"March 3rd, 2020 Joint Primary",1104,3105,798,565,233
"March 3rd, 2020 Joint Primary",1105,694,100,74,26
"March 3rd, 2020 Joint Primary",1106,0,0,0,0
"March 3rd, 2020 Joint Primary",1107,3077,462,318,144
"March 3rd, 2020 Joint Primary",1108,4553,1064,718,346
"March 3rd, 2020 Joint Primary",1109,3,0,0,0
"March 3rd, 2020 Joint Primary",1110,2687,441,316,125
"March 3rd, 2020 Joint Primary",1111,4821,1079,761,318
"March 3rd, 2020 Joint Primary",1112,4561,715,540,175
"March 3rd, 2020 Joint Primary",1113,2919,559,422,137
"March 3rd, 2020 Joint Primary",1114,17,4,2,2
"March 3rd, 2020 Joint Primary",1115,213,42,23,19
"March 3rd, 2020 Joint Primary",1116,1263,276,174,102
"March 3rd, 2020 Joint Primary",1117,367,77,54,23
"March 3rd, 2020 Joint Primary",1118,3308,673,429,244
"March 3rd, 2020 Joint Primary",1119,132,19,16,3
"March 3rd, 2020 Joint Primary",1120,143,20,19,1
"March 3rd, 2020 Joint Primary",1121,3303,650,461,189
"March 3rd, 2020 Joint Primary",1122,4402,1022,701,321
"March 3rd, 2020 Joint Primary",1123,582,117,69,48
"March 3rd, 2020 Joint Primary",1124,778,134,99,35
"March 3rd, 2020 Joint Primary",1125,2071,434,287,147
"March 3rd, 2020 Joint Primary",1126,0,0,0,0
"March 3rd, 2020 Joint Primary",1127,622,106,91,15
"March 3rd, 2020 Joint Primary",1128,1462,189,133,56
"March 3rd, 2020 Joint Primary",1129,1603,462,327,135
